column,pct_constant,constant_value
visibility,100.0,16.093
PCell_MCC,100.0,262.0
PCell_MNC_Digit,100.0,2.0
PCell_Allowed_Access,99.93,0.0
SCell_Downlink_bandwidth_MHz,97.97,20.0
SCell_Uplink_bandwidth_MHz,97.97,20.0
SCell_MCC,100.0,262.0
SCell_MNC_Digit,100.0,2.0
SCell_Allowed_Access,98.56,0.0
FLAG_range_PCell_SNR_1,99.91,False
FLAG_range_PCell_SNR_2,96.3,False
FLAG_range_SCell_SNR_1,99.84,False
FLAG_range_SCell_SNR_2,99.57,False
FLAG_range_PCell_RSRP_max,99.99,False
FLAG_range_SCell_RSRP_max,100.0,False
FLAG_range_PCell_RSSI_max,99.98,False
FLAG_range_SCell_RSSI_max,99.99,False
FLAG_range_SCell_Uplink_Tx_Power_(dBm),100.0,False
