cell_id,n_obs,wcl_lat,wcl_lon,n_localization,n_validation
2568970,4736,52.49185809966874,13.304665260340139,2842,1894
2819850,4650,52.50351615313556,13.339615597710837,2790,1860
3499534,4074,52.51155089958421,13.286515783053767,2444,1630
2824458,3759,52.49976923048409,13.313705982430076,2255,1504
2818312,2963,52.50210271308708,13.27967798622076,1778,1185
2940680,2778,52.50442243075736,13.335845219262177,1667,1111
3428105,2653,52.4928824887016,13.292766554858536,1592,1061
2580501,2004,52.51117835362649,13.300743828207574,1202,802
2828558,1973,52.51186223643286,13.31125040074527,1184,789
4078344,1973,52.508524217934415,13.349839211363303,1184,789
3499540,1938,52.511627486051204,13.286554921831716,1163,775
2568968,1901,52.49542860642595,13.309403477472237,1141,760
4051731,1772,52.498369918419456,13.307560368719107,1063,709
4080392,1708,52.51579082954192,13.37114047457623,1025,683
2824469,1643,52.49976397930932,13.313629827314857,986,657
3301896,1631,52.50991221642254,13.35878616499122,979,652
2948877,1531,52.49775767706721,13.282600543249407,919,612
2819859,1513,52.505552917670194,13.341318050430168,908,605
2826249,1504,52.48826886019322,13.301363646271845,902,602
4051733,1434,52.49640864846552,13.305698766028646,860,574
2826260,1409,52.48828326538175,13.301576834100068,845,564
51447561,1393,52.51633279675358,13.325615505021185,836,557
2567188,1392,52.51308765029551,13.32515797006702,835,557
51842568,1392,52.51351451175674,13.335812671467828,835,557
2824456,1368,52.49959663495979,13.31776643101323,821,547
4078355,1362,52.50866279925832,13.349964706651237,817,545
3538707,1271,52.51372196827474,13.33956028708186,763,508
2828559,1260,52.5115565183166,13.306598979047582,756,504
2832399,1233,52.515000639865015,13.376642344988287,740,493
3998479,1231,52.51510314598654,13.359920690087604,739,492
3428116,1116,52.49280005518872,13.292818572069082,670,446
2843411,1104,52.51123352840009,13.371726131586291,662,442
2843400,1095,52.51123881697878,13.371748873810134,657,438
4080393,1059,52.5156547981429,13.3692141849191,635,424
2828564,1043,52.51186427165648,13.310976024783342,626,417
2843405,976,52.51127048375855,13.372030386637984,586,390
4078345,939,52.506686518475654,13.345814733622202,563,376
2818323,913,52.50219213020324,13.281262450924357,548,365
2819861,907,52.50351189663478,13.339561672891389,544,363
