operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,PCell_Cell_ID,PCell_Downlink_frequency,PCell_Uplink_frequency,PCell_freq_MHz,PCell_Band_Indicator,PCell_Downlink_bandwidth_MHz,PCell_Uplink_bandwidth_MHz,n_rows,mean_rsrp,mean_lat,mean_lon
1,262.0,1.0,1492.0,26947072.0,197.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,5083,-97.48182748356938,52.492465849563914,13.304760959735065
1,262.0,1.0,1494.0,26358784.0,348.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3640,-69.66196735057952,52.50566245879121,13.341554809065935
1,262.0,1.0,1493.0,28650241.0,172.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3513,-93.45025118401311,52.49848118593394,13.307896196374337
1,262.0,1.0,1492.0,40782336.0,450.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3358,-81.60876645532116,52.48841678677785,13.302138689199921
1,262.0,1.0,1494.0,26369024.0,367.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3277,-96.06025373276536,52.509300786288264,13.351775838164988
1,262.0,1.0,1492.0,26356993.0,109.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2981,-97.62344150963926,52.51228089287711,13.28765154031086
1,262.0,1.0,1493.0,26368258.0,424.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2851,-84.86763029073147,52.49965608324564,13.312854816438676
1,262.0,1.0,1492.0,26947074.0,196.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2648,-91.78513634010184,52.49260395793981,13.292969881627
1,262.0,1.0,1494.0,26358785.0,349.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2618,-72.16793923124935,52.50367957473898,13.339793893557424
1,262.0,1.0,1492.0,40812800.0,420.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2459,-85.6311191991389,52.50714878338078,13.28317229632642
1,262.0,1.0,1494.0,33802242.0,246.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2425,-85.01734335070496,52.51339855272623,13.334037055819307
1,262.0,1.0,1495.0,26349058.0,2.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2185,-99.45128453836396,52.51002536003051,13.362623715484363
1,262.0,1.0,1494.0,29127682.0,278.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2098,-85.31247481488047,52.512123668748,13.315279067403138
1,262.0,1.0,1494.0,26359554.0,55.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2090,-77.59076482335638,52.50411576751237,13.33556474948141
1,262.0,1.0,1493.0,26365185.0,416.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2017,-84.9316003214829,52.51125283424228,13.302168154024129
1,262.0,1.0,1495.0,26607105.0,283.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2005,-90.04731003344118,52.513290906899414,13.376892933499585
1,262.0,1.0,1495.0,30828801.0,346.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,1950,-91.07241859697018,52.51510660046238,13.360082311895754
1,262.0,1.0,1495.0,26722816.0,485.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,1904,-83.84149842544011,52.51125804446779,13.37196068452381
