operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,PCell_Cell_ID,PCell_Downlink_frequency,PCell_Uplink_frequency,PCell_freq_MHz,PCell_Band_Indicator,PCell_Downlink_bandwidth_MHz,PCell_Uplink_bandwidth_MHz,n_rows,mean_rsrp,mean_lat,mean_lon,tower_lat,tower_lon,match_type
1.0,262.0,1.0,1492.0,26947072.0,197.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,5083.0,-97.48182748356938,52.49246584956392,13.304760959735065,,,NOT_FOUND
1.0,262.0,1.0,1494.0,26358784.0,348.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3640.0,-69.66196735057952,52.50566245879121,13.341554809065936,52.505,13.3416,exact_eci
1.0,262.0,1.0,1493.0,28650241.0,172.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3513.0,-93.45025118401313,52.49848118593394,13.307896196374337,52.4979,13.3073,exact_eci
1.0,262.0,1.0,1492.0,40782336.0,450.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3358.0,-81.60876645532116,52.48841678677785,13.30213868919992,52.4894,13.3031,exact_eci
1.0,262.0,1.0,1494.0,26369024.0,367.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,3277.0,-96.06025373276536,52.50930078628826,13.351775838164988,52.509,13.3522,exact_eci
1.0,262.0,1.0,1492.0,26356993.0,109.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2981.0,-97.62344150963926,52.51228089287711,13.28765154031086,,,NOT_FOUND
1.0,262.0,1.0,1493.0,26368258.0,424.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2851.0,-84.86763029073147,52.49965608324564,13.312854816438676,,,NOT_FOUND
1.0,262.0,1.0,1492.0,26947074.0,196.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2648.0,-91.78513634010184,52.49260395793981,13.292969881627,52.493,13.2978,exact_eci
1.0,262.0,1.0,1494.0,26358785.0,349.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2618.0,-72.16793923124935,52.50367957473898,13.339793893557424,,,NOT_FOUND
1.0,262.0,1.0,1492.0,40812800.0,420.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2459.0,-85.6311191991389,52.50714878338078,13.28317229632642,,,NOT_FOUND
1.0,262.0,1.0,1494.0,33802242.0,246.0,1300.0,19300.0,1800.0,3.0,20.0,20.0,2425.0,-85.01734335070496,52.51339855272623,13.334037055819309,52.5127,13.3344,exact_eci
