cell_eci,n,mae_xgb,los_frac
26349056,3,2.4943517500063526,1.0
26349058,73,3.63861439925336,1.0
26351360,22,3.2608192002143697,1.0
26351361,19,4.073419889413089,1.0
26351362,16,2.5866564195333632,1.0
26353920,49,4.67445664631429,1.0
26356993,160,3.155580902432988,1.0
26357760,2,2.6772365151002617,1.0
26358784,170,2.2679673982663666,1.0
26358785,28,4.729028437088948,1.0
26359552,3,4.08616916232639,1.0
26359553,40,1.816808081180492,1.0
26359554,40,4.816308296732075,1.0
26363649,12,2.028774610002987,1.0
26363650,33,3.2245472748913473,1.0
26365185,121,4.4525095305924625,1.0
26365186,82,3.421214780384881,1.0
26366722,8,2.3878975334578136,0.0
26367489,14,2.54360259447807,1.0
26367744,28,2.2218284113946902,1.0
26368257,6,0.8451180601634624,1.0
26368258,92,4.561062353075315,1.0
26369024,126,3.0861892734418217,1.0
26369025,34,3.9772580922268674,1.0
26607105,66,4.295310927211503,1.0
26681600,41,1.120202152796042,1.0
26720002,28,1.8525485135574093,1.0
26722816,45,3.8769792460700847,1.0
26795520,71,2.665055372991215,1.0
26917120,14,4.198397446937828,0.0
26947072,95,12.067383815285073,0.0
26947073,17,1.4790244728581372,1.0
26947074,71,3.348957650643023,0.7464788732394366
28650241,129,3.1775365070769164,0.7984496124031008
28792066,40,5.3713652480685825,0.0
29127680,33,2.7851386010870005,1.0
29127681,101,2.7223334637390626,1.0
29127682,114,2.3081441886736864,1.0
30827264,47,4.660050304960266,1.0
30829312,31,4.284325166193667,1.0
30829824,92,1.7739303151811532,1.0
33802241,39,3.2170428608249164,1.0
33802242,81,3.3359041191990344,1.0
34006273,33,3.3866657398365168,1.0
34210561,7,8.821666497694824,1.0
34210562,24,6.586251327837471,1.0
34768897,3,2.316823685647279,0.0
40782336,159,3.927745098695559,0.012578616352201259
40812800,36,5.834598548261955,1.0
