device,operator,period,gap_len,lat_mid,lon_mid,sess_boundary,type_a,recurs_vehicles,type_b,gap_type,matches_typeb
pc1,1,train,1,52.490363333333335,13.304656666666666,False,False,0,False,Ambiguous,
pc1,1,train,1,52.48981166666667,13.304635,False,False,0,False,Ambiguous,
pc1,1,train,1,52.51620666666667,13.325211666666666,False,False,2,True,TypeB,
pc1,1,train,5,52.49141633333333,13.304759333333333,False,False,0,False,Ambiguous,
pc2,2,train,36,52.51428569444444,13.347183472222222,False,False,1,True,TypeB,
pc2,2,train,2,52.514354999999995,13.348120833333333,False,False,1,True,TypeB,
pc2,2,train,38,52.51399903508772,13.3500226754386,False,False,1,True,TypeB,
pc2,2,train,1,52.51400666666667,13.350806666666667,False,False,1,True,TypeB,
pc2,2,train,2,52.5158675,13.377191666666667,False,False,0,False,Ambiguous,
pc2,2,train,1,52.50901666666667,13.282038333333333,False,False,0,False,Ambiguous,
pc2,2,train,8,52.514301458333335,13.348293541666667,False,False,1,True,TypeB,
pc2,2,train,3,52.51390055555555,13.34997888888889,False,False,1,True,TypeB,
pc2,2,train,1,52.51390166666667,13.350303333333333,False,False,1,True,TypeB,
pc2,2,train,1,52.515775,13.377361666666667,False,False,0,False,Ambiguous,
pc2,2,train,12,52.51620500000001,13.325054999999999,True,True,2,False,TypeA,
pc2,2,train,8,52.51422854166667,13.346861666666667,False,False,1,True,TypeB,
pc2,2,train,39,52.51425923076924,13.348267478632478,False,False,1,True,TypeB,
pc2,2,train,1,52.513866666666665,13.349926666666668,False,False,1,True,TypeB,
pc2,2,train,9,52.51405648148149,13.35098037037037,False,False,1,True,TypeB,
pc2,2,train,2,52.51426166666666,13.347118333333334,False,False,1,True,TypeB,
pc2,2,train,34,52.51426343137254,13.348362107843137,False,False,1,True,TypeB,
pc2,2,train,51,52.508051045751635,13.34958748366013,False,False,0,False,Ambiguous,
pc2,2,train,1,52.51419666666666,13.346186666666666,False,False,1,True,TypeB,
pc2,2,train,6,52.514255555555565,13.347111666666665,False,False,1,True,TypeB,
pc2,2,train,16,52.514309374999996,13.348376770833333,False,False,1,True,TypeB,
pc2,2,train,8,52.513998541666666,13.350670833333332,False,False,1,True,TypeB,
pc2,2,train,1,52.51207,13.322265,False,False,0,False,Ambiguous,
pc2,2,train,20,52.514217583333334,13.349013833333334,False,False,1,True,TypeB,
pc2,2,train,2,52.51423666666667,13.347489166666666,False,False,1,True,TypeB,
pc2,2,train,1,52.51426166666667,13.347835,False,False,1,True,TypeB,
pc2,2,train,32,52.514274791666665,13.348020208333335,False,False,1,True,TypeB,
pc2,2,train,19,52.51404385964912,13.350362807017543,False,False,1,True,TypeB,
pc2,2,train,111,52.51564337837838,13.368960660660662,True,True,0,False,TypeA,
pc2,2,train,8,52.51424604166667,13.347130208333333,False,False,1,True,TypeB,
pc2,2,train,7,52.514314761904764,13.348279523809524,False,False,1,True,TypeB,
pc2,2,train,11,52.51398166666666,13.349753484848486,False,False,1,True,TypeB,
pc2,2,train,38,52.514507763157894,13.35277302631579,False,False,0,False,Ambiguous,
pc2,2,train,1,52.51422,13.346493333333331,False,False,1,True,TypeB,
pc2,2,train,1,52.51426333333333,13.347148333333331,False,False,1,True,TypeB,
pc2,2,train,64,52.51424986979167,13.348631901041667,False,False,1,True,TypeB,
pc2,2,train,1,52.51567833333333,13.377456666666667,False,False,0,False,Ambiguous,
pc2,2,train,66,52.514284191919195,13.347690732323233,False,False,1,True,TypeB,
pc2,2,train,38,52.51431618421053,13.348086842105264,False,False,1,True,TypeB,
pc2,2,train,9,52.51413203703704,13.35104351851852,False,False,1,True,TypeB,
pc2,2,train,1,52.51426166666667,13.347061666666669,False,False,1,True,TypeB,
pc2,2,train,2,52.51434416666667,13.348188333333333,False,False,1,True,TypeB,
pc2,2,train,25,52.5141384,13.3496646,False,False,1,True,TypeB,
pc3,2,train,2,52.514275,13.347849166666666,False,False,1,True,TypeB,
pc3,2,train,1,52.51432666666667,13.348643333333332,False,False,1,True,TypeB,
pc3,2,train,1,52.51545333333333,13.366183333333334,False,False,0,False,Ambiguous,
pc3,2,train,14,52.51413571428571,13.349105357142856,False,False,1,True,TypeB,
pc3,2,train,1,52.513963333333336,13.349645,False,False,1,True,TypeB,
pc3,2,train,1,52.51396666666667,13.350711666666667,False,False,1,True,TypeB,
pc3,2,train,3,52.51433944444445,13.348338333333333,False,False,1,True,TypeB,
pc3,2,train,2,52.51404,13.343155,False,False,0,False,Ambiguous,
pc3,2,train,1,52.51428666666666,13.347086666666666,False,False,1,True,TypeB,
pc3,2,train,2,52.514336666666665,13.3478125,False,False,1,True,TypeB,
pc3,2,train,1,52.51435333333333,13.348071666666666,False,False,1,True,TypeB,
pc3,2,train,1,52.51437166666667,13.34836,False,False,1,True,TypeB,
pc3,2,train,2,52.51432416666667,13.348952500000001,False,False,1,True,TypeB,
pc3,2,train,1,52.51414,13.351166666666666,False,False,1,True,TypeB,
pc3,2,train,9,52.51433,13.348323333333331,False,False,1,True,TypeB,
pc3,2,train,1,52.514305,13.349003333333334,False,False,1,True,TypeB,
pc3,2,train,2,52.51427916666667,13.347392500000002,False,False,1,True,TypeB,
pc3,2,train,1,52.51433,13.34817,False,False,1,True,TypeB,
pc3,2,train,3,52.514354999999995,13.348521666666665,False,False,1,True,TypeB,
pc3,2,train,1,52.51397166666667,13.350623333333331,False,False,1,True,TypeB,
pc3,2,train,2,52.51427666666667,13.3471175,False,False,1,True,TypeB,
