device,gap_start,gap_end,gap_len,tvd,session_aligned,gps_frac,lat_mid,lon_mid,recurs,gap_type,tau
pc1,6393,6393,1,0.7036576555385675,False,1.0,52.490363333333335,13.304656666666666,False,Ambiguous,0.1
pc1,6400,6400,1,0.7036576555385675,False,1.0,52.48981166666667,13.304635,False,Ambiguous,0.1
pc1,8023,8023,1,0.7851106369394648,False,1.0,52.51620666666667,13.325211666666666,True,TypeB,0.1
pc1,14071,14075,5,0.7036576555385675,False,1.0,52.49141633333333,13.304759333333333,False,Ambiguous,0.1
pc1,47694,47698,5,0.7036576555385675,False,1.0,52.49898499999999,13.307804999999998,False,Ambiguous,0.1
pc1,55739,55744,6,0.8960836035551673,False,1.0,52.50607416666667,13.28294222222222,False,Ambiguous,0.1
pc1,59794,59803,10,0.5,True,0.0,,,False,Ambiguous,0.1
pc2,221,256,36,0.6668532381818606,False,1.0,52.51428569444444,13.347183472222222,True,TypeB,0.1
pc2,269,270,2,0.6668532381818606,False,1.0,52.514354999999995,13.348120833333333,True,TypeB,0.1
pc2,275,312,38,0.6668532381818606,False,1.0,52.51399903508772,13.3500226754386,True,TypeB,0.1
pc2,341,341,1,0.6668532381818606,False,1.0,52.51400666666667,13.350806666666667,True,TypeB,0.1
pc2,1377,1378,2,0.6668532381818606,False,1.0,52.5158675,13.377191666666667,False,Ambiguous,0.1
pc2,3884,3884,1,0.8772359430024022,False,1.0,52.50901666666667,13.282038333333333,False,Ambiguous,0.1
pc2,4497,4504,8,0.6668532381818606,False,1.0,52.514301458333335,13.348293541666667,True,TypeB,0.1
pc2,4511,4513,3,0.6668532381818606,False,1.0,52.51390055555555,13.34997888888889,True,TypeB,0.1
pc2,4518,4518,1,0.6668532381818606,False,1.0,52.51390166666667,13.350303333333333,True,TypeB,0.1
pc2,4688,4688,1,0.6668532381818606,False,1.0,52.515775,13.377361666666667,False,Ambiguous,0.1
pc2,8002,8013,12,0.7856060076027893,True,1.0,52.51620500000001,13.325054999999999,True,Ambiguous,0.1
pc2,8352,8359,8,0.6668532381818606,False,1.0,52.51422854166667,13.346861666666667,True,TypeB,0.1
pc2,8363,8401,39,0.6668532381818606,False,1.0,52.51425923076924,13.348267478632478,True,TypeB,0.1
pc2,8404,8404,1,0.6668532381818606,False,1.0,52.513866666666665,13.349926666666668,True,TypeB,0.1
pc2,8408,8416,9,0.6668532381818606,False,1.0,52.51405648148149,13.35098037037037,True,TypeB,0.1
pc2,12152,12153,2,0.6668532381818606,False,1.0,52.51426166666666,13.347118333333334,True,TypeB,0.1
pc2,12158,12191,34,0.6668532381818606,False,1.0,52.51426343137254,13.348362107843137,True,TypeB,0.1
pc2,12777,12827,51,0.6668532381818606,False,1.0,52.508051045751635,13.34958748366013,False,Ambiguous,0.1
pc2,16852,16852,1,0.6668532381818606,False,1.0,52.51419666666666,13.346186666666666,True,TypeB,0.1
pc2,16856,16861,6,0.6668532381818606,False,1.0,52.514255555555565,13.347111666666665,True,TypeB,0.1
pc2,16914,16929,16,0.6668532381818606,False,1.0,52.514309374999996,13.348376770833333,True,TypeB,0.1
pc2,16939,16946,8,0.6668532381818606,False,1.0,52.513998541666666,13.350670833333332,True,TypeB,0.1
pc2,19782,19782,1,0.7856060076027893,False,1.0,52.51207,13.322265,False,Ambiguous,0.1
pc2,20162,20181,20,0.6668532381818606,False,1.0,52.514217583333334,13.349013833333334,True,TypeB,0.1
pc2,23013,23014,2,0.6668532381818606,False,1.0,52.51423666666667,13.347489166666666,True,TypeB,0.1
pc2,23018,23018,1,0.6668532381818606,False,1.0,52.51426166666667,13.347835,True,TypeB,0.1
pc2,23020,23051,32,0.6668532381818606,False,1.0,52.514274791666665,13.348020208333335,True,TypeB,0.1
pc2,23054,23072,19,0.6668532381818606,False,1.0,52.51404385964912,13.350362807017543,True,TypeB,0.1
pc2,23093,23203,111,0.6668532381818606,True,1.0,52.51564337837838,13.368960660660662,False,Ambiguous,0.1
pc2,26140,26147,8,0.6668532381818606,False,1.0,52.51424604166667,13.347130208333333,True,TypeB,0.1
pc2,26164,26170,7,0.6668532381818606,False,1.0,52.514314761904764,13.348279523809524,True,TypeB,0.1
pc2,26174,26184,11,0.6668532381818606,False,1.0,52.51398166666666,13.349753484848486,True,TypeB,0.1
pc2,26229,26266,38,0.6668532381818606,False,1.0,52.514507763157894,13.35277302631579,False,Ambiguous,0.1
pc2,29387,29387,1,0.6668532381818606,False,1.0,52.51422,13.346493333333331,True,TypeB,0.1
pc2,29391,29391,1,0.6668532381818606,False,1.0,52.51426333333333,13.347148333333331,True,TypeB,0.1
pc2,29394,29457,64,0.6668532381818606,False,1.0,52.51424986979167,13.348631901041667,True,TypeB,0.1
pc2,29661,29661,1,0.6668532381818606,False,1.0,52.51567833333333,13.377456666666667,False,Ambiguous,0.1
pc2,32392,32457,66,0.6668532381818606,False,1.0,52.514284191919195,13.347690732323233,True,TypeB,0.1
pc2,36072,36109,38,0.6668532381818606,False,1.0,52.51431618421053,13.348086842105264,True,TypeB,0.1
pc2,36120,36128,9,0.6668532381818606,False,1.0,52.51413203703704,13.35104351851852,True,TypeB,0.1
pc2,39502,39502,1,0.6668532381818606,False,1.0,52.51426166666667,13.347061666666669,True,TypeB,0.1
pc2,39511,39512,2,0.6668532381818606,False,1.0,52.51434416666667,13.348188333333333,True,TypeB,0.1
pc2,39582,39606,25,0.6668532381818606,False,1.0,52.5141384,13.3496646,True,TypeB,0.1
pc2,40334,40413,80,0.6668532381818606,False,1.0,52.51426695833334,13.347181541666668,True,TypeB,0.1
pc3,4496,4497,2,0.6331564054049529,False,1.0,52.514275,13.347849166666666,True,TypeB,0.1
pc3,4501,4501,1,0.6331564054049529,False,1.0,52.51432666666667,13.348643333333332,True,TypeB,0.1
pc3,4570,4570,1,0.6331564054049529,False,1.0,52.51545333333333,13.366183333333334,False,Ambiguous,0.1
pc3,8411,8424,14,0.6331564054049529,False,1.0,52.51413571428571,13.349105357142856,True,TypeB,0.1
pc3,12214,12214,1,0.6331564054049529,False,1.0,52.513963333333336,13.349645,True,TypeB,0.1
pc3,12221,12221,1,0.6331564054049529,False,1.0,52.51396666666667,13.350711666666667,True,TypeB,0.1
pc3,17008,17010,3,0.6331564054049529,False,1.0,52.51433944444445,13.348338333333333,True,TypeB,0.1
pc3,20182,20183,2,0.6331564054049529,False,1.0,52.51404,13.343155,False,Ambiguous,0.1
pc3,20203,20203,1,0.6331564054049529,False,1.0,52.51428666666666,13.347086666666666,True,TypeB,0.1
pc3,20216,20217,2,0.6331564054049529,False,1.0,52.514336666666665,13.3478125,True,TypeB,0.1
pc3,20249,20249,1,0.6331564054049529,False,1.0,52.51435333333333,13.348071666666666,True,TypeB,0.1
pc3,20252,20252,1,0.6331564054049529,False,1.0,52.51437166666667,13.34836,True,TypeB,0.1
pc3,20257,20258,2,0.6331564054049529,False,1.0,52.51432416666667,13.348952500000001,True,TypeB,0.1
pc3,23155,23155,1,0.6331564054049529,False,1.0,52.51414,13.351166666666666,True,TypeB,0.1
pc3,26269,26277,9,0.6331564054049529,False,1.0,52.51433,13.348323333333331,True,TypeB,0.1
pc3,29527,29527,1,0.6331564054049529,False,1.0,52.514305,13.349003333333334,True,TypeB,0.1
pc3,32506,32507,2,0.6331564054049529,False,1.0,52.51427916666667,13.347392500000002,True,TypeB,0.1
pc3,32578,32578,1,0.6331564054049529,False,1.0,52.51433,13.34817,True,TypeB,0.1
pc3,32581,32583,3,0.6331564054049529,False,1.0,52.514354999999995,13.348521666666665,True,TypeB,0.1
pc3,32599,32599,1,0.6331564054049529,False,1.0,52.51397166666667,13.350623333333331,True,TypeB,0.1
pc3,36159,36160,2,0.6331564054049529,False,1.0,52.51427666666667,13.3471175,True,TypeB,0.1
pc3,36170,36173,4,0.6331564054049529,False,1.0,52.514340833333335,13.347934583333334,True,TypeB,0.1
pc3,39595,39596,2,0.6331564054049529,False,1.0,52.51429916666666,13.3476,True,TypeB,0.1
pc3,39672,39673,2,0.6331564054049529,False,1.0,52.51434166666667,13.348283333333335,True,TypeB,0.1
pc3,42815,42815,1,0.6331564054049529,False,1.0,52.51434,13.347628333333333,True,TypeB,0.1
pc3,42818,42821,4,0.6331564054049529,False,1.0,52.514376666666664,13.34811375,True,TypeB,0.1
pc3,42885,42887,3,0.6331564054049529,False,1.0,52.51439666666666,13.348472222222222,True,TypeB,0.1
pc3,45864,45864,1,0.6331564054049529,False,1.0,52.51432333333333,13.348813333333334,True,TypeB,0.1
pc3,45873,45873,1,0.6331564054049529,False,1.0,52.513945,13.34971,True,TypeB,0.1
pc3,49436,49436,1,0.6331564054049529,False,1.0,52.514271666666666,13.346421666666666,True,TypeB,0.1
pc3,49439,49439,1,0.6331564054049529,False,1.0,52.514305,13.346933333333332,True,TypeB,0.1
pc3,49441,49441,1,0.6331564054049529,False,1.0,52.514325,13.347233333333334,True,TypeB,0.1
pc3,49459,49459,1,0.6331564054049529,False,1.0,52.514385,13.347981666666668,True,TypeB,0.1
pc3,49462,49464,3,0.6331564054049529,False,1.0,52.51441722222222,13.348467222222224,True,TypeB,0.1
pc3,50464,50465,2,0.6331564054049529,False,1.0,52.51437583333333,13.348366666666667,True,TypeB,0.1
pc3,53708,53708,1,0.6331564054049529,False,1.0,52.51434,13.348098333333333,True,TypeB,0.1
pc3,53779,53779,1,0.6331564054049529,False,1.0,52.514363333333336,13.348451666666667,True,TypeB,0.1
pc3,57091,57091,1,0.6331564054049529,False,1.0,52.514253333333336,13.346678333333331,True,TypeB,0.1
pc3,57106,57107,2,0.6331564054049529,False,1.0,52.51435166666667,13.348086666666667,True,TypeB,0.1
pc3,57168,57168,1,0.6331564054049529,False,1.0,52.51436833333333,13.348323333333331,True,TypeB,0.1
pc3,59704,59722,19,0.7933459471225491,True,1.0,52.51131710526315,13.302375877192981,False,Ambiguous,0.1
pc4,2350,2358,9,0.6845706545853669,False,1.0,52.50009166666667,13.32470851851852,False,Ambiguous,0.1
pc4,7928,7953,26,0.7865299736110787,True,1.0,52.516133269230764,13.325074615384615,True,Ambiguous,0.1
pc4,17000,17004,5,0.6587422059269985,True,1.0,52.51492333333333,13.358243333333334,False,Ambiguous,0.1
pc4,19947,28991,9045,0.029972933337407505,True,1.0,52.50529627860696,13.322872697991524,False,TypeA,0.1
pc4,43009,43009,1,0.5,True,0.0,,,False,Ambiguous,0.1
