_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,wcl_lat,wcl_lon,sionna_power_cal,residual_cal,gp_correction,gp_corr_std,gp_rsrp,gp_residual,dist_regime
45627,1,pc4,26347520.0,val,-95.91768292682929,-61.58028411865234,256.7457071215464,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-96.51927826479312,0.601595337963829,-33.29198718887402,9.133941042109575,-129.81126545366715,33.89358252683786,200-500m
45632,1,pc4,26347520.0,val,-100.63375,-61.238372802734375,246.70730335727177,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-96.17736694887516,-4.45638305112486,-33.646621748380944,9.120331703981288,-129.82398869725608,29.190238697256078,200-500m
45638,1,pc4,26347520.0,val,-101.259375,-60.84979248046875,235.76281179640432,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-95.78878662660952,-5.470588373390484,-34.07000904706195,9.10555669589685,-129.85879567367147,28.59942067367146,200-500m
45642,1,pc4,26347520.0,val,-101.935625,-60.45668029785156,225.1710845653771,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-95.39567444399232,-6.539950556007668,-34.51990102350594,9.091482637655036,-129.9155754674983,27.979950467498284,200-500m
45644,1,pc4,26347520.0,val,-100.736875,-60.02852630615234,214.160106616164,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-94.96752045229312,-5.769354547706882,-35.03393734936131,9.07733968023643,-130.00145780165442,29.264582801654427,200-500m
45647,1,pc4,26347520.0,val,-97.744375,-59.565391540527344,202.83533619792863,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-94.50438568666812,-3.2399893133318898,-35.616367996056944,9.063651874805092,-130.12075368272505,32.37637868272505,200-500m
45652,1,pc4,26347520.0,val,-99.959375,-59.050689697265625,190.92539701936184,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-93.9896838434064,-5.969691156593598,-36.2909772390094,9.050582246569306,-130.2806610824158,30.32128608241581,0-200m
45657,1,pc4,26347520.0,val,-103.213125,-58.49351501464844,178.78747451081006,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-93.4325091607892,-9.780615839210796,-37.04660116859976,9.039150585273148,-130.47911032938896,27.265985329388954,0-200m
45660,1,pc4,26347520.0,val,-103.679375,-57.88916778564453,166.46378209806062,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-92.8281619317853,-10.85121306821469,-37.88383428488629,9.029825960038615,-130.7119962166716,27.0326212166716,0-200m
45665,1,pc4,26347520.0,val,-103.3,-57.225730895996094,153.84658752342503,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-92.16472504213688,-11.135274957863132,-38.80368993914961,9.02272717373448,-130.9684149812865,27.66841498128649,0-200m
45670,1,pc4,26347520.0,val,-102.54,-56.50252532958984,141.1129954395836,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-91.44151947573062,-11.098480524269393,-39.78237679310859,9.017915153288175,-131.2238962688392,28.683896268839206,0-200m
45674,1,pc4,26347520.0,val,-100.803125,-55.72063446044922,128.44397748628947,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-90.65962860659,-10.143496393410004,-40.78648744364019,9.0153415524058,-131.4461160502302,30.642991050230194,0-200m
45678,1,pc4,26347520.0,val,-99.504375,-54.87396240234375,115.8963381325104,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-89.81295654848452,-9.691418451515474,-41.79176899627136,9.014538544647731,-131.60472554475587,32.10035054475587,0-200m
45682,1,pc4,26347520.0,val,-100.115625,-53.95962524414063,103.59838463864963,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-88.8986193902814,-11.217005609718598,-42.77200294210727,9.015748300968388,-131.67062233238866,31.554997332388666,0-200m
45683,1,pc4,26347520.0,val,-99.643125,-52.97663879394531,91.60406310352184,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-87.91563294008608,-11.727492059913914,-43.71696875383108,9.020268677201676,-131.63260169391717,31.98947669391717,0-200m
45688,1,pc4,26347520.0,val,-99.634375,-51.84546661376953,79.2541724183517,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-86.7844607599103,-12.849914240089705,-44.734994186786814,9.02914173034977,-131.51945494669712,31.885079946697118,0-200m
45692,1,pc4,26347520.0,val,-97.04625,-50.61698913574219,67.32992207062367,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-85.55598328188296,-11.49026671811704,-45.77441117504216,9.039776708998584,-131.33039445692512,34.28414445692512,0-200m
45695,1,pc1,26347520.0,val,-97.8452380952381,-58.705833435058594,183.3231792862197,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-93.64482758119937,-4.200410514038737,-36.75605519660652,9.04317085707895,-130.4008827778059,32.55564468256779,0-200m
45696,1,pc4,26347520.0,val,-98.39375,-49.21510314941406,55.31153635923837,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-84.15409729555483,-14.239652704445165,-46.81519818085903,9.048467379991278,-130.96929547641386,32.575545476413865,0-200m
45699,1,pc1,26347520.0,val,-100.418125,-58.04259490966797,169.51725953799465,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-92.98158905580874,-7.436535944191263,-37.67042406178026,9.031914038403327,-130.652013117589,30.233888117589004,0-200m
45700,1,pc4,26347520.0,val,-97.61375,-47.618682861328125,43.23013159899881,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-82.5576770074689,-15.0560729925311,-47.747171480285786,9.05266589582433,-130.30484848775467,32.69109848775467,0-200m
45705,1,pc1,26347520.0,val,-98.375,-57.298583984375,155.18687100891904,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-92.23757813051576,-6.137421869484228,-38.70332571114211,9.02336796948467,-130.94090384165787,32.56590384165787,0-200m
45706,1,pc4,26347520.0,val,-95.12375,-45.89263153076172,31.464896072523054,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-80.83162567690249,-14.29212432309751,-48.43230598432468,9.050226282410057,-129.26393166122716,34.14018166122716,0-200m
45709,1,pc4,26347520.0,val,-91.574375,-44.16850280761719,20.00210784939173,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-79.10749695375796,-12.466878046242044,-48.982146507062566,9.06363512868816,-128.08964346082053,36.51526846082052,0-200m
45710,1,pc1,26347520.0,val,-101.224375,-56.48149108886719,140.75786989965223,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-91.42048523500796,-9.803889764992036,-39.810229663296276,9.017813997630498,-131.23071489830423,30.006339898304233,0-200m
45713,1,pc4,26347520.0,val,-96.240625,-42.83539581298828,8.950903284114638,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-77.77438995912905,-18.46623504087094,-49.51777391599051,9.176491631873493,-127.29216387511957,31.051538875119576,0-200m
45714,1,pc1,26347520.0,val,-94.011875,-55.61957550048828,126.88429369662909,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-90.55856964662904,-3.4533053533709506,-40.9111485623139,9.01515591151973,-131.46971820894294,37.45784320894293,0-200m
45716,1,pc4,26347520.0,val,-96.634375,-42.50299072265625,3.810215783874818,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-77.44198486879702,-19.192390131202984,-48.99256607578858,9.475925842468579,-126.4345509445856,29.80017594458559,0-200m
45718,1,pc1,26347520.0,val,-94.12809405940594,-54.675628662109375,113.1197082684763,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-89.61462280825015,-4.513471251155792,-42.01398466460611,9.014591059904113,-131.62860747285626,37.50051341345032,0-200m
45720,1,pc1,26347520.0,val,-96.23800505050504,-53.63238525390625,99.47020236227353,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-88.57137940004702,-7.666625650458016,-43.0967356452978,9.016867615026875,-131.66811504534482,35.43010999483978,0-200m
45721,1,pc4,26347520.0,val,-97.90125,-43.39924621582031,14.268268319345523,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-78.33824036196108,-19.56300963803892,-49.29657578760797,9.105473312216656,-127.63481614956905,29.733566149569043,0-200m
45723,1,pc1,26347520.0,val,-97.89625,-52.426368713378906,85.41660833494132,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-87.36536285951968,-10.530887140480315,-44.218653542844244,9.024221387765612,-131.58401640236391,33.68776640236392,0-200m
45725,1,pc4,26347520.0,val,-99.704375,-45.02195739746094,25.747953162333395,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-79.96095154360171,-19.74342345639829,-48.703999544670104,9.050497095316194,-128.6649510882718,28.960576088271807,0-200m
45728,1,pc4,26347520.0,val,-98.951875,-46.79682922363281,37.50744947756047,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-81.73582336977358,-17.216051630226417,-48.110187639182925,9.052278790013872,-129.8460110089565,30.894136008956508,0-200m
45730,1,pc1,26347520.0,val,-96.91125,-50.985801696777344,70.76007935196954,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-85.92479584291812,-10.98645415708188,-45.47183572193399,9.036768073450679,-131.3966315648521,34.485381564852105,0-200m
45731,1,pc4,26347520.0,val,-95.9075,-48.499473571777344,49.71217102053785,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-83.43846771791812,-12.469032282081884,-47.26617026009154,9.051130721969184,-130.70463797800966,34.79713797800966,0-200m
45734,1,pc1,26347520.0,val,-95.876875,-49.3134994506836,56.107484744673954,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-84.25249359682437,-11.624381403175631,-46.748866212516944,9.047999826875872,-131.0013598093413,35.1244848093413,0-200m
45736,1,pc4,26347520.0,val,-95.66625,-50.03857421875,62.18256410883777,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-84.97756836489077,-10.688681635109234,-46.22726904415699,9.04389348650023,-131.20483740904777,35.538587409047764,0-200m
45738,1,pc1,26347520.0,val,-95.13375,-47.39737701416016,41.66209393562979,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-82.33637116030093,-12.797378839699078,-47.85307827429453,9.052744631839378,-130.18944943459547,35.05569943459547,0-200m
45739,1,pc1,26347520.0,val,-90.496875,-45.28627014160156,27.485026490498456,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-80.22526428774233,-10.271610712257669,-48.62274021299209,9.049682615127733,-128.84800450073442,38.351129500734416,0-200m
45742,1,pc4,26347520.0,val,-102.109375,-51.36070251464844,74.37247543189164,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-86.29969666078921,-15.809678339210793,-45.155250000248884,9.03348945104512,-131.4549466610381,29.345571661038093,0-200m
45744,1,pc1,26347520.0,val,-89.52784653465346,-43.37571716308594,14.07515365948679,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-78.31471130922671,-11.213135225426754,-49.30797334501654,9.107508591367155,-127.62268465424324,38.09483811958978,0-200m
45746,1,pc4,26347520.0,val,-105.749375,-52.54207611083984,86.68112220393826,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-87.48107025698062,-18.268304743019385,-44.11428707698376,9.023321919049579,-131.5953573339644,25.845982333964386,0-200m
45749,1,pc1,26347520.0,val,-93.44633838383838,-42.59396362304688,5.655010395916277,1800.0,Highway,Unflagged,52.50098960584469,13.28025140527702,-77.53295776918765,-15.913380614650734,-49.302236917051545,9.293661102250994,-126.83519468623919,33.38885630240081,0-200m
