_row,new_split
77225,train
172954,train
76817,train
77139,train
114686,train
141935,val
77144,train
77318,val
77114,train
141940,train
127220,val
27853,train
172916,train
114680,train
76775,train
12913,train
77119,train
76576,train
64963,val
77138,train
27552,train
127206,val
77212,train
89692,val
27861,train
193348,val
76934,train
193346,val
76805,train
76661,train
27487,train
141973,val
169042,val
77310,train
141947,train
141989,val
77280,val
77345,val
141907,val
169027,val
45627,train
45632,train
45638,train
45642,train
45644,train
45647,train
45652,train
45657,train
45660,train
45665,train
45670,train
45674,train
45678,train
45682,train
45683,train
45688,train
45692,train
45695,val
45696,train
45699,val
45700,train
45705,val
45706,train
45709,train
45710,val
45713,train
45714,val
45716,train
45718,val
45720,val
45721,train
45723,val
45725,train
45728,train
45730,val
45731,train
45734,val
45736,train
45738,val
45739,val
45742,train
45744,val
45746,train
45749,val
45753,val
45758,val
45761,val
45765,val
45769,val
45773,val
45778,val
45780,val
45783,val
45790,val
45794,val
101866,train
101872,train
101876,train
101880,train
101885,train
101889,train
101890,train
101894,train
101901,train
101903,train
101907,train
101912,train
101916,train
101918,train
101922,train
101928,train
101932,train
101936,train
101940,train
101942,train
101947,train
101953,train
101956,train
101961,train
101963,train
101966,train
101971,train
101975,train
101981,train
101985,train
101986,train
101992,train
101995,train
101999,train
102002,train
102007,train
102010,train
102014,train
102019,train
102023,train
102026,train
102031,train
102037,train
102040,train
102045,train
102046,train
102050,train
102054,train
102061,train
102063,train
102069,train
102070,train
102074,train
102079,train
102085,train
102088,train
102090,train
102094,train
102101,train
102105,train
102106,train
102110,train
102116,train
102120,train
102123,train
102128,train
102131,train
155979,train
155982,train
155989,train
156000,train
156004,train
156007,train
156011,train
156016,train
156019,train
156021,val
156024,val
156025,train
156026,val
156028,train
156031,train
156033,val
156034,train
156036,val
156039,train
156041,val
156042,val
156044,train
156048,val
156049,train
156050,train
156052,val
156056,train
156057,val
156059,val
156060,train
156064,train
156065,val
156066,val
156068,train
156071,val
156072,train
156074,train
156076,val
156079,train
156080,val
156083,val
156085,train
156087,train
156089,val
156091,val
156093,train
156094,val
156096,train
156098,train
156101,val
156102,train
156104,val
156107,val
156109,train
156112,train
156113,val
156115,train
156117,val
156119,train
156121,val
156124,val
156125,train
156126,train
156128,val
156130,val
156133,train
156134,train
156135,val
156140,val
156141,train
156143,train
156144,val
156147,val
156149,train
156150,train
156153,val
156155,val
156156,train
156158,train
156161,val
156163,val
156165,train
156166,val
156169,train
156170,train
156173,val
156176,val
156177,train
156178,val
156179,train
156182,train
156184,val
156187,val
156188,train
156191,val
156192,train
156194,train
156197,val
156199,train
156200,val
156203,train
156204,val
156206,train
156209,val
156210,val
156213,train
156217,val
156221,val
156225,val
156227,val
156231,val
156236,val
156241,val
156245,val
156249,val
156252,val
156256,val
156260,val
156265,val
156268,val
156271,val
206282,train
206284,train
206286,train
206289,train
206291,train
206293,train
206294,train
206297,train
206299,train
206301,train
206302,train
206304,train
206306,train
206309,train
206310,train
206312,train
206315,train
206316,train
71035,train
20648,train
107713,train
121123,val
202887,train
133704,val
107989,train
107943,train
121151,val
107927,train
121082,val
203003,train
203042,train
107961,train
121161,train
196330,val
36342,train
134043,val
181773,val
196141,val
181787,val
174388,train
174458,train
181712,val
121201,val
107729,train
121000,train
203001,train
121216,val
133936,val
134019,val
134367,val
121025,train
165863,val
174429,train
6449,val
6564,val
134309,val
181709,val
120962,val
51890,train
51894,train
51896,train
51901,train
51906,train
51908,train
51911,train
51912,val
51916,train
51917,val
51920,train
51921,val
51925,val
51926,train
51928,train
51930,val
51932,train
51933,val
51935,val
51937,train
51940,train
51942,val
51945,train
51946,val
51949,val
51950,train
51953,train
51954,val
51957,train
51958,val
51959,train
51962,val
51963,train
51966,val
51968,val
51969,train
51972,val
51973,train
51976,train
51978,val
51980,train
51982,val
51984,val
51986,train
51987,train
51989,val
51992,val
51993,train
51995,train
51997,val
51999,val
52000,train
52005,val
52006,train
52007,train
52009,val
52011,train
52013,val
52015,val
52016,train
52019,train
52021,val
52023,val
52026,train
52028,val
52029,train
52031,train
52034,val
52035,train
52037,val
