event_idx,from_cell,to_cell,dur_s,pA_from,pA_to,pB_from,pB_to,correct_A,correct_B,hda_correct,flip_correct,margin_A_dB,margin_B_dB
0,26367489.0,33802242.0,51.0,-63.30933380126953,-61.171714782714844,-63.47724914550781,-60.951751708984375,False,True,False,True,-2.1376190185546875,2.5254974365234375
1,33802242.0,33802241.0,45.0,-63.35432434082031,-58.92608642578125,-63.51123046875,-58.64002227783203,False,True,False,True,-4.4282379150390625,4.871208190917969
2,33802241.0,30829824.0,89.0,-62.2684326171875,-56.60363006591797,-62.445899963378906,-56.196372985839844,False,True,False,True,-5.664802551269531,6.2495269775390625
3,30829824.0,30829312.0,32.0,-53.681907653808594,-54.098052978515625,-54.285743713378906,-53.531646728515625,True,True,True,True,0.41614532470703125,0.7540969848632812
4,34006272.0,30828801.0,13.0,-54.98625183105469,-54.789817810058594,-55.73411560058594,-53.92735290527344,False,True,False,True,-0.19643402099609375,1.8067626953125
5,30828801.0,30828800.0,12.0,-49.164825439453125,-44.52709197998047,-50.65735626220703,-45.24004364013672,False,True,False,True,-4.637733459472656,5.4173126220703125
6,30828800.0,34006529.0,16.0,-58.07593536376953,-59.64240264892578,-58.66486358642578,-59.11266326904297,True,False,False,False,1.56646728515625,-0.4477996826171875
7,34006529.0,34006528.0,24.0,-43.52045440673828,-43.404014587402344,-45.23927307128906,-45.33319091796875,False,False,False,True,-0.1164398193359375,-0.0939178466796875
8,34007041.0,34007040.0,45.0,-48.973487854003906,-44.045677185058594,-49.06920623779297,-43.2274169921875,False,True,False,True,-4.9278106689453125,5.841789245605469
9,34007040.0,30827265.0,10.0,-44.78245544433594,-46.77659606933594,-45.555702209472656,-46.02772521972656,True,False,False,False,1.994140625,-0.47202301025390625
10,30827265.0,30827264.0,71.0,-46.794227600097656,-50.53374481201172,-47.723655700683594,-50.13134765625,True,False,False,False,3.7395172119140625,-2.4076919555664062
11,26607105.0,26681600.0,38.0,-56.61506652832031,-42.58763122558594,-56.61506652832031,-42.58763122558594,False,True,False,True,-14.027435302734375,14.027435302734375
12,26681600.0,26607105.0,60.0,-42.655059814453125,-56.53296661376953,-42.84355926513672,-56.410438537597656,True,False,False,False,13.877906799316406,-13.566879272460938
13,26607105.0,26722816.0,41.0,-64.1178970336914,-59.42826843261719,-64.31752014160156,-59.07837677001953,False,True,False,True,-4.689628601074219,5.239143371582031
14,26722816.0,26349058.0,72.0,-61.69744873046875,-64.99687194824219,-62.00892639160156,-64.77064514160156,True,False,False,False,3.2994232177734375,-2.76171875
15,26349058.0,26369024.0,132.0,-65.49431610107422,-65.17744445800781,-65.72438049316406,-64.93164825439453,False,True,False,True,-0.31687164306640625,0.7927322387695312
16,26369024.0,26369025.0,33.0,-63.28223419189453,-55.91619873046875,-63.536651611328125,-55.19090270996094,False,True,False,True,-7.366035461425781,8.345748901367188
17,26369025.0,26358784.0,169.0,-59.11903381347656,-56.15934753417969,-59.39024353027344,-55.741798400878906,False,True,False,True,-2.959686279296875,3.6484451293945312
18,26358784.0,26358785.0,27.0,-54.72937774658203,-51.648719787597656,-55.22700500488281,-51.425743103027344,False,True,False,True,-3.080657958984375,3.8012619018554688
19,26358785.0,26359553.0,39.0,-58.316490173339844,-53.5345458984375,-58.29552459716797,-52.95356750488281,False,True,False,True,-4.781944274902344,5.341957092285156
20,26359552.0,26359554.0,33.0,-47.30646514892578,-47.784507751464844,-47.575477600097656,-46.683311462402344,True,True,True,True,0.4780426025390625,0.8921661376953125
21,26359552.0,26720002.0,27.0,-55.79792785644531,-56.246116638183594,-56.28355407714844,-55.69486999511719,True,True,True,True,0.44818878173828125,0.58868408203125
22,26720002.0,26795520.0,70.0,-56.26606750488281,-53.91319274902344,-56.77519989013672,-53.217376708984375,False,True,False,True,-2.352874755859375,3.5578231811523438
23,26795520.0,26367744.0,27.0,-54.93976593017578,-53.44801330566406,-55.65855407714844,-52.46287536621094,False,True,False,True,-1.4917526245117188,3.1956787109375
24,26367744.0,26351361.0,18.0,-58.41961669921875,-57.352073669433594,-58.79057312011719,-56.90106201171875,False,True,False,True,-1.0675430297851562,1.8895111083984375
25,26351361.0,26351360.0,21.0,-47.0201416015625,-54.72900390625,-48.2744140625,-53.96356201171875,True,False,False,False,7.7088623046875,-5.68914794921875
26,26351360.0,26351362.0,15.0,-56.7364501953125,-53.28192901611328,-57.302581787109375,-52.604026794433594,False,True,False,True,-3.4545211791992188,4.698554992675781
