_row,device,measurement,ts_gps,date_str,operator,split,gap_type
0,pc1,0,2021-06-22 09:49:54,2021-06-22,1,train,Unflagged
1,pc1,0,2021-06-22 09:49:55,2021-06-22,1,train,Unflagged
2,pc1,0,2021-06-22 09:49:56,2021-06-22,1,train,Unflagged
3,pc1,0,2021-06-22 09:49:57,2021-06-22,1,train,Unflagged
4,pc1,0,2021-06-22 09:49:58,2021-06-22,1,train,Unflagged
5,pc1,0,2021-06-22 09:49:59,2021-06-22,1,train,Unflagged
6,pc1,0,2021-06-22 09:50:00,2021-06-22,1,train,Unflagged
7,pc1,0,2021-06-22 09:50:01,2021-06-22,1,train,Unflagged
8,pc1,0,2021-06-22 09:50:02,2021-06-22,1,train,Unflagged
9,pc1,0,2021-06-22 09:50:03,2021-06-22,1,train,Unflagged
10,pc1,0,2021-06-22 09:50:04,2021-06-22,1,train,Unflagged
11,pc1,0,2021-06-22 09:50:05,2021-06-22,1,train,Unflagged
12,pc1,0,2021-06-22 09:50:06,2021-06-22,1,train,Unflagged
13,pc1,0,2021-06-22 09:50:07,2021-06-22,1,train,Unflagged
14,pc1,0,2021-06-22 09:50:08,2021-06-22,1,train,Unflagged
15,pc1,0,2021-06-22 09:50:09,2021-06-22,1,train,Unflagged
16,pc1,0,2021-06-22 09:50:10,2021-06-22,1,train,Unflagged
17,pc1,0,2021-06-22 09:50:11,2021-06-22,1,train,Unflagged
18,pc1,0,2021-06-22 09:50:12,2021-06-22,1,train,Unflagged
19,pc1,0,2021-06-22 09:50:13,2021-06-22,1,train,Unflagged
20,pc1,0,2021-06-22 09:50:14,2021-06-22,1,train,Unflagged
21,pc1,0,2021-06-22 09:50:15,2021-06-22,1,train,Unflagged
22,pc1,0,2021-06-22 09:50:16,2021-06-22,1,train,Unflagged
23,pc1,0,2021-06-22 09:50:17,2021-06-22,1,train,Unflagged
24,pc1,0,2021-06-22 09:50:18,2021-06-22,1,train,Unflagged
25,pc1,0,2021-06-22 09:50:19,2021-06-22,1,train,Unflagged
26,pc1,0,2021-06-22 09:50:20,2021-06-22,1,train,Unflagged
27,pc1,0,2021-06-22 09:50:21,2021-06-22,1,train,Unflagged
28,pc1,0,2021-06-22 09:50:22,2021-06-22,1,train,Unflagged
29,pc1,0,2021-06-22 09:50:23,2021-06-22,1,train,Unflagged
30,pc1,0,2021-06-22 09:50:24,2021-06-22,1,train,Unflagged
31,pc1,0,2021-06-22 09:50:25,2021-06-22,1,train,Unflagged
32,pc1,0,2021-06-22 09:50:26,2021-06-22,1,train,Unflagged
33,pc1,0,2021-06-22 09:50:27,2021-06-22,1,train,Unflagged
34,pc1,0,2021-06-22 09:50:28,2021-06-22,1,train,Unflagged
35,pc1,0,2021-06-22 09:50:29,2021-06-22,1,train,Unflagged
36,pc1,0,2021-06-22 09:50:30,2021-06-22,1,train,Unflagged
37,pc1,0,2021-06-22 09:50:31,2021-06-22,1,train,Unflagged
38,pc1,0,2021-06-22 09:50:32,2021-06-22,1,train,Unflagged
39,pc1,0,2021-06-22 09:50:33,2021-06-22,1,train,Unflagged
40,pc1,0,2021-06-22 09:50:34,2021-06-22,1,train,Unflagged
41,pc1,0,2021-06-22 09:50:35,2021-06-22,1,train,Unflagged
42,pc1,0,2021-06-22 09:50:36,2021-06-22,1,train,Unflagged
43,pc1,0,2021-06-22 09:50:37,2021-06-22,1,train,Unflagged
